task,current_cost,best_cost,points,local_target_met,rule_valid,onnx_valid,examples_passed,examples_total,public_parent_score,public_candidate_score,public_delta,online_verified,artifact_path,blocker
task009,6694,6694,16.191033118228727,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task009.onnx,task_model_missing
task015,900,900,18.197605236675688,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task015.onnx,task_model_missing
task046,2085,2085,17.3574758657671,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task046.onnx,task_model_missing
task052,194,194,19.73214184093667,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task052.onnx,task_model_missing
task054,25394,25394,14.857731795370263,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task054.onnx,task_model_missing
task061,1668,1668,17.58061941708131,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task061.onnx,task_model_missing
task065,638,638,18.54166171665521,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task065.onnx,task_model_missing
task069,2949,2949,17.010778591184724,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task069.onnx,task_model_missing
task072,421,421,18.957367166317617,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task072.onnx,task_model_missing
task075,1487,1487,17.695484053539843,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task075.onnx,task_model_missing
task077,7657,7657,16.056624458886876,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task077.onnx,task_model_missing
task081,464,464,18.860115447773744,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task081.onnx,task_model_missing
task091,2764,2764,17.07556581511244,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task091.onnx,task_model_missing
task094,2677,2677,17.10754795647965,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task094.onnx,task_model_missing
task096,7678,7678,16.053885624439257,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task096.onnx,task_model_missing
task108,300,300,19.2962175253438,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task108.onnx,task_model_missing
task113,30,30,21.598802618337846,true,,true,265,265,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task113.onnx,
task121,326,326,19.213102618633293,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task121.onnx,task_model_missing
